ChathamIsland
NZ_DOE
43.92°S     176.50°W
16-sept-83  11-Oct-1996
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Jan         N           58          58          58          58          58          57          0           0           58
Jan         Mean        7.33        0.12        1.572       4.233       13.766      0.508       -999        -999        0.103
Jan         StdDev      2.788       0.055       0.412       1.479       4.811       0.249       -999        -999        0.051
Feb         N           50          50          50          50          50          50          0           0           50
Feb         Mean        6.844       0.115       1.485       3.983       12.952      0.483       -999        -999        0.094
Feb         StdDev      3.026       0.073       0.524       1.637       5.324       0.252       -999        -999        0.056
Mar         N           55          55          55          55          55          55          0           0           55
Mar         Mean        7.533       0.091       1.35        4.346       14.134      0.256       -999        -999        0.051
Mar         StdDev      3.528       0.045       0.517       1.896       6.167       0.161       -999        -999        0.03
Apr         N           57          57          57          57          57          57          0           0           57
Apr         Mean        7.439       0.1         1.288       4.24        13.789      0.221       -999        -999        0.042
Apr         StdDev      3.074       0.051       0.47        1.622       5.275       0.16        -999        -999        0.03
May         N           58          58          58          58          58          58          0           0           58
May         Mean        8.037       0.094       1.288       4.565       14.845      0.139       -999        -999        0.032
May         StdDev      2.92        0.061       0.402       1.507       4.902       0.123       -999        -999        0.034
Jun         N           53          52          53          53          53          53          0           0           53
Jun         Mean        7.926       0.076       1.249       4.519       14.695      0.111       -999        -999        0.021
Jun         StdDev      4.128       0.053       0.615       2.211       7.191       0.174       -999        -999        0.018
Jul         N           59          59          59          59          59          59          0           0           59
Jul         Mean        7.125       0.07        1.127       4.019       13.071      0.116       -999        -999        0.017
Jul         StdDev      3.548       0.048       0.544       1.893       6.155       0.17        -999        -999        0.014
Aug         N           58          57          58          58          58          58          0           0           58
Aug         Mean        7.062       0.082       1.136       4.035       13.123      0.12        -999        -999        0.026
Aug         StdDev      3.699       0.046       0.546       1.995       6.489       0.133       -999        -999        0.02
Sep         N           56          56          56          56          56          55          0           0           56
Sep         Mean        7.516       0.095       1.224       4.255       13.837      0.15        -999        -999        0.035
