Chiginagak	57.14	-156.99	2000	102	152	54	71	89	0	38	0	7	41	14	28	22	43	100
Veniaminof	56.17	-159.38	2507	6	149	100	153	0	47	118	9	258	37	0	0	0	92	17
Kliuchevskoi	56.06	160.64	4835	130	100	338	55	97	674	208	169	405	93	168	759	450	115	263
Shishaldin	54.76	-163.97	2857	5	168	65	135	170	61	0	12	142	285	237	63	120	10	47
Karymsky	54.05	159.45	1536	275	286	226	455	187	244	500	331	321	402	377	11	228	174	148
Tana	52.83	-169.77	1170	75	102	36	78	1	31	119	9	61	0	32	93	147	96	27
Mutnovsky	52.45	158.20	2322	335	166	66	192	381	875	422	169	205	167	81	0	125	147	54
Korovin	52.38	-174.15	1533	27	120	144	0	86	0	96	50	12	124	42	71	0	9	16
Gareloi	51.79	-178.79	1573	0	24	36	17	11	10	14	15	37	12	40	42	11	70	0
Chikurachki	50.33	155.46	1816	154	20	656	304	119	128	139	97	151	32	257	445	108	287	248
Medvezhia	45.39	148.84	1125	102	55	103	37	84	38	99	76	78	85	46	133	142	73	70
Tokachi	43.42	142.69	2077	119	33	0	47	77	25	69	40	62	2	64	58	194	146	121
Stromboli	38.79	15.21	870	40	62	88	92	50	65	68	73	48	55	55	0	69	18	48
Mt. Etna	37.73	15.00	2711	624	1150	610	811	719	461	844	595	492	836	613	913	819	802	1161
Asama	36.40	138.53	2126	445	67	6	205	315	83	81	72	37	36	366	103	247	23	33
Miyake-jima	34.08	139.53	560	1117	632	510	439	311	267	250	194	46	97	56	0	0	0	0
Aso	32.88	131.11	1181	226	91	92	123	167	159	123	234	225	541	408	544	270	231	664
Sakura-jima	31.59	130.66	639	94	126	139	141	365	414	636	707	606	456	171	0	155	491	428
Kikai	30.79	130.31	614	148	146	191	201	131	138	226	263	252	227	279	188	202	388	175
Suwanose-jima	29.64	129.72	560	241	291	166	367	237	331	263	214	543	311	270	412	321	252	250
Kilauea	19.42	-155.29	1222	892	796	696	3854	2234	2809	1616	1890	1992	1556	1856	2029	1933	1265	33
Popocatepetl	19.02	-98.62	5100	273	327	402	343	289	406	576	1182	936	686	927	763	499	435	402
Soufriere Hills	16.72	-62.18	870	568	945	512	567	670	527	319	258	175	113	116	87	88	65	72
Anatahan	16.35	145.67	320	1161	1621	1196	1025	5	14	0	0	0	0	0	0	5	3	0
Jebel at Tair	15.55	41.83	244	0	0	343	0	9	7	12	0	9	0	0	0	1	0	0
Santa Maria	14.76	-91.55	3772	99	101	84	61	61	47	95	175	59	83	71	75	120	62	49
Fuego	14.47	-90.88	3763	104	98	115	66	80	75	78	88	96	114	105	155	208	210	164
Santa Ana	13.85	-89.63	2381	218	65	20	22	1	7	9	15	14	0	22	58	46	52	43
Mayon	13.26	123.69	2462	68	295	206	103	298	261	157	73	94	140	51	72	124	492	244
Bulusan	12.77	124.05	1500	33	263	152	78	110	50	47	27	20	29	29	50	34	130	41
San Cristobal	12.70	-87.00	1745	87	225	202	119	309	224	376	357	132	179	227	127	105	132	147
Barren Island	12.28	93.86	230	260	319	40	29	165	15	39	0	2	5	36	0	0	4	0
Masaya	11.98	-86.16	635	249	405	416	546	399	170	114	188	208	245	274	522	583	380	314
Kanlaon	10.41	123.13	2435	224	13	0	8	9	6	0	10	0	14	5	202	2	313	18
Turrialba	10.03	-83.77	3340	24	16	99	157	140	765	607	404	290	133	334	377	481	356	125
Nevado del Ruiz	4.90	-75.32	5321	69	49	21	16	10	10	61	762	758	774	1019	620	486	241	214
